GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,EditorConfig,0,11,0,0,0,4,0,3,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,JsonMapper,0,19,0,0,0,5,0,1,0,1
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigurationEditorFilterService,0,28,0,4,0,4,0,5,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigPersistServlet,239,602,25,87,42,149,24,48,1,15
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigNamesServlet,5,232,3,17,2,51,3,14,0,7
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigDataServlet,65,521,11,43,15,113,10,25,0,8
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,PropertyItem,4,73,0,0,1,31,1,21,1,21
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,ConfigCollectionItem,4,31,0,0,1,13,1,9,1,9
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,ConfigItem,4,38,0,0,1,16,1,11,1,11
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,PropertyItemMetadata,4,45,0,0,1,19,1,13,1,13
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigNamesResponse,4,17,0,0,1,7,1,5,1,5
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigNameItem,4,69,0,0,1,25,1,17,1,17
Context-Aware Configuration Editor,io.wcm.caconfig.editor.model,EditorConfiguration,0,114,0,2,0,18,0,10,0,9
