GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Context-Aware Configuration Editor,io.wcm.caconfig.editor,DropdownOptionItem,0,15,0,0,0,6,0,3,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor,ConfigurationCategory,2,40,1,1,1,11,1,7,0,7
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigurationCategoryProviderService,0,108,0,8,0,30,0,14,0,10
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,PathBrowserRootPathProviderService,8,43,0,2,2,12,0,4,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigurationEditorFilterService,0,38,0,4,0,8,0,7,0,5
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigPersistServlet,177,602,25,87,42,149,24,48,1,15
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigDataServlet,52,634,16,56,15,147,15,29,0,8
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,TagBrowserRootPathProviderService,8,43,0,2,2,12,0,4,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,DropdownOptionProviderService,8,61,0,2,2,17,0,6,0,5
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,EditorConfig,0,11,0,0,0,4,0,3,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,JsonMapper,0,19,0,0,0,5,0,1,0,1
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigNamesServlet,5,261,3,19,2,63,3,18,0,10
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,PropertyItem,4,73,0,0,1,31,1,21,1,21
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,ConfigCollectionItem,4,31,0,0,1,13,1,9,1,9
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,PropertyItemMetadata,4,45,0,0,1,19,1,13,1,13
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,ConfigItem,4,38,0,0,1,16,1,11,1,11
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigCategoryItem,4,15,0,0,1,6,1,3,1,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigNamesResponse,4,24,0,0,1,10,1,7,1,7
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigNameItem,4,85,0,2,1,31,1,21,1,20
Context-Aware Configuration Editor,io.wcm.caconfig.editor.model,EditorConfiguration,0,119,1,5,0,28,1,16,0,14
