GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Context-Aware Configuration Editor,io.wcm.caconfig.editor,DropdownOptionItem,0,15,0,0,0,6,0,3,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor,ConfigurationCategory,2,40,1,1,1,11,1,7,0,7
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigurationCategoryProviderService,0,108,0,8,0,30,0,14,0,10
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,PathBrowserRootPathProviderService,8,43,0,2,2,12,0,4,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigurationEditorFilterService,0,38,0,4,0,8,0,7,0,5
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigPersistServlet,177,602,25,87,42,149,24,48,1,15
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigDataServlet,24,64,4,4,6,15,3,4,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,TagBrowserRootPathProviderService,8,43,0,2,2,12,0,4,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,UnifiedShellDetector,5,14,0,0,0,5,1,3,1,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,DropdownOptionProviderService,8,61,0,2,2,17,0,6,0,5
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,EditorConfig,0,11,0,0,0,4,0,3,0,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,JsonMapper,0,19,0,0,0,5,0,1,0,1
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigNamesServlet,5,261,3,19,2,63,3,18,0,10
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl,ConfigDataResponseGenerator,41,684,14,62,13,158,14,32,0,8
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,PropertyItem,4,80,0,0,1,34,1,23,1,23
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,ConfigCollectionItem,4,45,0,0,1,19,1,13,1,13
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,PropertyItemMetadata,4,45,0,0,1,19,1,13,1,13
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.configdata,ConfigItem,4,52,0,0,1,22,1,15,1,15
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigCategoryItem,4,15,0,0,1,6,1,3,1,3
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigNamesResponse,4,24,0,0,1,10,1,7,1,7
Context-Aware Configuration Editor,io.wcm.caconfig.editor.impl.data.confignames,ConfigNameItem,4,85,0,2,1,31,1,21,1,20
Context-Aware Configuration Editor,io.wcm.caconfig.editor.model,EditorConfiguration,27,150,2,6,5,36,2,20,0,18
