GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,ToolsConfigPagePersistenceStrategy.new Transformer() {...},0,32,1,1,0,6,1,2,0,2
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,ToolsConfigPagePersistenceStrategy.new Transformer() {...},0,67,0,4,0,12,0,4,0,2
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,ToolsConfigPagePersistenceStrategy.new Transformer() {...},0,44,0,0,0,3,0,2,0,2
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,PagePersistenceStrategy,25,256,10,22,10,60,10,20,1,13
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,ToolsConfigPagePersistenceStrategy,113,578,35,47,29,110,36,34,5,24
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,PropertiesFilterUtil,0,9,0,0,0,3,0,1,0,1
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,ToolsConfigPagePersistenceStrategy.new Predicate() {...},0,13,0,0,0,3,0,2,0,2
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,PersistenceUtils,160,415,14,34,24,95,13,28,2,15
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.references.impl,CoreCompReferenceProviderDisabler,57,0,8,0,14,0,8,0,4,0
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.references.impl,ConfigurationReferenceProvider,19,242,6,20,5,50,6,22,0,15
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.override.impl,RequestHeaderConfigurationOverrideProvider,4,51,2,6,2,15,2,7,0,5
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.contextpath.impl,RootTemplateContextPathStrategy,20,260,13,35,6,56,13,19,0,8
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.contextpath.impl,AbsoluteParentContextPathStrategy,29,294,14,42,8,60,14,21,0,7
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.bindings.impl,AemConfigurationInjectResourceDetectionStrategy,0,26,0,4,0,9,0,5,0,3
