GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,PagePersistenceStrategy,25,285,10,36,8,68,9,30,1,15
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,ToolsConfigPagePersistenceStrategy,113,664,42,64,30,135,43,46,5,31
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,PropertiesFilterUtil,0,24,0,0,0,7,0,2,0,2
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.persistence.impl,PersistenceUtils,102,415,14,38,24,103,13,30,2,15
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.references.impl,CoreCompReferenceProviderDisabler,57,0,8,0,14,0,8,0,4,0
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.references.impl,AssetRefereneDetector,0,152,3,13,0,38,3,13,0,8
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.references.impl,ConfigurationReferenceProvider,17,364,7,33,4,70,7,32,0,19
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.override.impl,RequestHeaderConfigurationOverrideProvider,4,52,2,6,2,15,2,7,0,5
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.contextpath.impl,RootTemplateContextPathStrategy,20,260,13,35,6,56,13,19,0,8
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.contextpath.impl,AbsoluteParentContextPathStrategy,29,294,14,42,8,60,14,21,0,7
Context-Aware Configuration Extensions for AEM,io.wcm.caconfig.extensions.bindings.impl,AemConfigurationInjectResourceDetectionStrategy,0,26,0,4,0,9,0,5,0,3
