GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DAM Asset Service,io.wcm.dam.assetservice.impl,AssetRequestServlet,16,190,5,17,6,47,5,11,0,5
DAM Asset Service,io.wcm.dam.assetservice.impl,DamPathHandler,11,234,5,27,4,54,5,22,0,11
DAM Asset Service,io.wcm.dam.assetservice.impl,AssetService,9,131,2,2,2,30,2,8,0,8
DAM Asset Service,io.wcm.dam.assetservice.impl,DataVersionServlet,0,58,0,2,0,17,0,4,0,3
DAM Asset Service,io.wcm.dam.assetservice.impl,AssetRequestParser,4,231,6,24,0,37,5,14,0,4
DAM Asset Service,io.wcm.dam.assetservice.impl,AssetRequest,4,29,0,0,1,10,1,2,1,2
DAM Asset Service,io.wcm.dam.assetservice.impl.dataversion,ChecksumDataVersionStrategy.UpdateDataVersionTask,48,222,3,11,7,45,3,10,0,6
DAM Asset Service,io.wcm.dam.assetservice.impl.dataversion,DataVersionStrategy,0,23,0,0,0,6,0,2,0,2
DAM Asset Service,io.wcm.dam.assetservice.impl.dataversion,TimestampDataVersionStrategy,0,25,0,0,0,9,0,4,0,4
DAM Asset Service,io.wcm.dam.assetservice.impl.dataversion,ChecksumDataVersionStrategy,8,45,1,1,1,13,1,4,0,4
