GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Handler Commons,org.jdom2.transform,JDOMResult,166,0,20,0,55,0,20,0,10,0
Handler Commons,org.jdom2.transform,JDOMSource.DocumentReader,41,0,4,0,13,0,5,0,3,0
Handler Commons,org.jdom2.transform,JDOMSource,151,0,14,0,45,0,19,0,12,0
Handler Commons,org.jdom2.transform,JDOMResult.DocumentBuilder,146,0,4,0,54,0,19,0,17,0
Handler Commons,org.jdom2.transform,XSLTransformException,12,0,0,0,6,0,3,0,3,0
Handler Commons,org.jdom2.transform,JDOMSource.JDOMInputSource,78,0,6,0,21,0,11,0,8,0
Handler Commons,org.jdom2.transform,JDOMResult.FragmentHandler,49,0,2,0,14,0,4,0,3,0
Handler Commons,org.jdom2.transform,XSLTransformer,125,0,0,0,36,0,11,0,11,0
Handler Commons,org.jdom2.located,LocatedComment,18,0,0,0,8,0,5,0,5,0
Handler Commons,org.jdom2.located,LocatedDocType,29,0,0,0,12,0,7,0,7,0
Handler Commons,org.jdom2.located,LocatedText,18,0,0,0,8,0,5,0,5,0
Handler Commons,org.jdom2.located,LocatedJDOMFactory,223,0,0,0,65,0,17,0,17,0
Handler Commons,org.jdom2.located,LocatedProcessingInstruction,28,0,0,0,12,0,7,0,7,0
Handler Commons,org.jdom2.located,LocatedEntityRef,29,0,0,0,12,0,7,0,7,0
Handler Commons,org.jdom2.located,LocatedCDATA,18,0,0,0,8,0,5,0,5,0
Handler Commons,org.jdom2.located,LocatedElement,34,0,0,0,14,0,8,0,8,0
Handler Commons,org.jdom2,AttributeType,62,114,10,0,14,12,7,1,2,1
Handler Commons,org.jdom2,DefaultJDOMFactory,295,0,2,0,53,0,47,0,46,0
Handler Commons,org.jdom2,CDATA,85,29,13,3,26,9,14,3,6,3
Handler Commons,org.jdom2,IllegalNameException,42,0,0,0,20,0,3,0,3,0
Handler Commons,org.jdom2,ContentList.FilterList,807,0,82,0,135,0,55,0,14,0
Handler Commons,org.jdom2,ContentList.CLListIterator,273,0,28,0,59,0,25,0,11,0
Handler Commons,org.jdom2,CloneBase,20,3,0,0,4,2,1,1,1,1
Handler Commons,org.jdom2,Text,107,36,12,2,31,12,17,6,10,6
Handler Commons,org.jdom2,Comment,37,26,1,1,11,8,6,4,5,4
Handler Commons,org.jdom2,Content,63,23,10,0,17,9,13,5,8,5
Handler Commons,org.jdom2,AttributeList.ALIterator,49,56,6,4,10,11,5,4,1,3
Handler Commons,org.jdom2,Content.CType,0,74,0,0,0,8,0,1,0,1
Handler Commons,org.jdom2,DataConversionException,15,0,0,0,7,0,1,0,1,0
Handler Commons,org.jdom2,FilterIterator,92,0,12,0,30,0,11,0,5,0
Handler Commons,org.jdom2,ContentList.CLIterator,49,56,6,4,10,11,5,4,1,3
Handler Commons,org.jdom2,ProcessingInstruction,411,0,40,0,110,0,41,0,21,0
Handler Commons,org.jdom2,ContentList.FilterListIterator,328,0,34,0,64,0,28,0,11,0
Handler Commons,org.jdom2,AttributeList.new Comparator() {...},16,3,2,0,4,1,2,1,1,1
Handler Commons,org.jdom2,IllegalDataException,42,0,0,0,20,0,3,0,3,0
Handler Commons,org.jdom2,SlimJDOMFactory,295,0,18,0,36,0,34,0,25,0
Handler Commons,org.jdom2,ContentList,510,290,60,28,107,72,51,23,15,15
