GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Link Handler,io.wcm.handler.link.spi,LinkHandlerConfig,7,60,0,10,2,17,2,12,2,7
Link Handler,io.wcm.handler.link.spi,LinkType,7,46,2,6,3,14,5,4,3,2
Link Handler,io.wcm.handler.link.type,ExternalLinkType,10,63,1,3,5,17,5,8,4,7
Link Handler,io.wcm.handler.link.type,InternalCrossContextLinkType,12,68,2,4,5,16,6,8,4,7
Link Handler,io.wcm.handler.link.type,MediaLinkType,8,101,0,4,4,25,4,9,4,7
Link Handler,io.wcm.handler.link.type,InternalLinkType,8,72,0,6,4,17,4,10,4,7
Link Handler,io.wcm.handler.link.ui,ResourceLink,0,23,0,0,0,6,0,5,0,5
Link Handler,io.wcm.handler.link.ui,Redirect,0,52,0,6,0,13,0,6,0,3
Link Handler,io.wcm.handler.link.type.helpers,InternalLinkResolverOptions,0,33,0,0,0,12,0,7,0,7
Link Handler,io.wcm.handler.link.type.helpers,LinkResolveCounter,8,41,1,5,2,11,2,8,1,6
Link Handler,io.wcm.handler.link.type.helpers,SyntheticNavigatableResource,25,42,3,5,8,14,6,6,4,4
Link Handler,io.wcm.handler.link.type.helpers,InternalLinkResolver,6,305,6,54,3,86,6,30,0,6
Link Handler,io.wcm.handler.link.impl,DefaultLinkHandlerConfig,0,3,0,0,0,1,0,1,0,1
Link Handler,io.wcm.handler.link.impl,SeoSitemapLinkExternalizerImpl,0,141,1,11,0,34,1,12,0,7
Link Handler,io.wcm.handler.link.impl,LinkHandlerAdapterFactory,2,27,2,4,1,5,2,3,0,2
Link Handler,io.wcm.handler.link.impl,LinkHandlerImpl,54,292,19,37,6,68,16,21,0,9
Link Handler,io.wcm.handler.link.impl,ImageMapLinkResolverImpl,2,37,2,4,1,11,2,5,0,4
Link Handler,io.wcm.handler.link.impl,LinkBuilderImpl,36,275,5,7,11,72,8,22,4,20
Link Handler,io.wcm.handler.link.markup,SimpleLinkMarkupBuilder,0,38,2,6,0,7,2,5,0,3
Link Handler,io.wcm.handler.link.markup,DummyLinkMarkupBuilder,3,31,3,5,0,5,2,5,0,3
Link Handler,io.wcm.handler.link.processor,DefaultInternalLinkInheritUrlParamLinkPostProcessor,0,9,0,0,0,3,0,2,0,2
Link Handler,io.wcm.handler.link.processor,AbstractInternalLinkInheritUrlParamLinkPostProcessor,7,79,1,11,2,19,1,7,0,2
Link Handler,io.wcm.handler.link,SyntheticLinkResource,0,30,0,2,0,8,0,4,0,3
Link Handler,io.wcm.handler.link,LinkArgs,16,211,2,6,3,64,3,33,1,31
Link Handler,io.wcm.handler.link,LinkComponentPropertyResolver,0,31,0,0,0,9,0,4,0,4
Link Handler,io.wcm.handler.link,LinkRequest,5,88,1,13,1,22,1,14,0,8
Link Handler,io.wcm.handler.link,Link,0,163,1,19,0,52,1,31,0,22
