GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Media Handler,io.wcm.handler.mediasource.dam.impl.dynamicmedia,NamedDimension,24,17,0,0,6,5,2,3,2,3
Media Handler,io.wcm.handler.mediasource.dam.impl.dynamicmedia,DynamicMediaCapabilityDetection,0,34,0,0,0,4,0,1,0,1
Media Handler,io.wcm.handler.mediasource.dam.impl.dynamicmedia,ImageProfileImpl,0,90,1,7,0,20,1,6,0,3
Media Handler,io.wcm.handler.mediasource.dam.impl.dynamicmedia,DynamicMediaSupportServiceImpl,24,256,6,31,9,59,6,26,0,13
Media Handler,io.wcm.handler.mediasource.dam.impl.dynamicmedia,DynamicMediaPath,7,276,1,25,1,58,1,21,0,9
Media Handler,io.wcm.handler.mediasource.dam.impl.dynamicmedia,SmartCrop,1,308,6,32,0,52,6,24,0,11
Media Handler,io.wcm.handler.media.markup,AbstractImageMediaMarkupBuilder,3,113,1,16,1,25,2,12,1,4
Media Handler,io.wcm.handler.media.markup,SimpleImageMediaMarkupBuilder,50,539,22,86,12,135,19,49,1,13
Media Handler,io.wcm.handler.media.markup,DragDropSupport,0,34,0,0,0,4,0,1,0,1
Media Handler,io.wcm.handler.media.markup,IPERatioCustomize,0,34,0,0,0,4,0,1,0,1
Media Handler,io.wcm.handler.media.markup,MediaMarkupBuilderUtil,88,216,26,42,22,56,21,21,0,6
Media Handler,io.wcm.handler.media.markup,DummyImageMediaMarkupBuilder,18,89,5,15,2,22,4,10,0,4
Media Handler,io.wcm.handler.media.format.impl,MediaFormatSupport.new MediaFormatVisitor() {...},0,22,1,3,0,4,1,3,0,2
Media Handler,io.wcm.handler.media.format.impl,MediaFormatSupport,36,65,9,9,7,16,6,5,0,2
Media Handler,io.wcm.handler.media.format.impl,DefaultMediaFormatListProvider.MediaFormatItem,0,39,0,0,0,13,0,13,0,13
Media Handler,io.wcm.handler.media.format.impl,MediaFormatHandlerImpl,29,485,18,104,6,93,18,58,1,14
Media Handler,io.wcm.handler.media.format.impl,DefaultMediaFormatListProvider,2,108,2,6,1,28,2,6,0,4
Media Handler,io.wcm.handler.media.format.impl,MediaFormatProviderManagerImpl,0,103,0,2,0,22,0,7,0,6
Media Handler,io.wcm.handler.media.impl.ipeconfig,AspectRatioResource,14,74,2,6,5,23,5,8,3,6
Media Handler,io.wcm.handler.media.impl.ipeconfig,IPEConfigResourceProvider,40,236,18,26,12,59,17,14,0,9
Media Handler,io.wcm.handler.media.impl.ipeconfig,CroppingRatios,5,154,5,23,0,35,4,19,0,9
Media Handler,io.wcm.handler.media.impl.ipeconfig,PathParser,0,101,1,9,0,26,1,14,0,10
Media Handler,io.wcm.handler.media.impl.ipeconfig,OverlayResource,19,38,2,0,5,13,4,6,3,6
Media Handler,io.wcm.handler.media,MediaComponentPropertyResolver,2,365,7,47,1,84,7,34,0,14
Media Handler,io.wcm.handler.media,MediaArgs,213,750,47,61,34,206,45,93,3,81
Media Handler,io.wcm.handler.media,MediaArgs.ImageSizes,35,45,4,0,6,13,4,7,2,7
Media Handler,io.wcm.handler.media,MediaFileType,0,283,0,6,0,50,0,27,0,24
Media Handler,io.wcm.handler.media,MediaArgs.MediaFormatOption,57,39,8,0,13,14,8,6,4,6
Media Handler,io.wcm.handler.media,MediaRequest,0,121,1,13,0,28,1,15,0,9
Media Handler,io.wcm.handler.media,MediaArgs.PictureSource,57,71,8,0,10,23,6,15,2,15
Media Handler,io.wcm.handler.media,Media,37,219,9,23,6,67,9,33,0,26
Media Handler,io.wcm.handler.media,CropDimension,5,199,1,13,1,39,2,19,1,13
Media Handler,io.wcm.handler.media,MediaInvalidReason,0,64,0,0,0,7,0,1,0,1
Media Handler,io.wcm.handler.media,MediaComponentPropertyResolver.ValueMapPropertyAccessor,6,12,0,0,1,4,1,2,1,2
Media Handler,io.wcm.handler.media,Rendition,2,18,2,2,1,4,2,1,0,1
Media Handler,io.wcm.handler.media,MediaComponentPropertyResolver.ComponentPropertyResolverPropertyAccessor,0,18,0,0,0,5,0,3,0,3
Media Handler,io.wcm.handler.media,MediaRequest.MediaPropertyNames,4,35,0,0,1,13,1,9,1,9
Media Handler,io.wcm.handler.media,MediaArgs.WidthOption,25,21,2,0,6,7,3,4,2,4
Media Handler,io.wcm.handler.media,Dimension,0,41,0,0,0,12,0,6,0,6
Media Handler,io.wcm.handler.media,UriTemplateType,0,34,0,0,0,4,0,1,0,1
