GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RichText Handler,io.wcm.handler.richtext.util,RichTextUtil,28,268,4,38,8,69,6,24,2,7
RichText Handler,io.wcm.handler.richtext.util,XHtmlEntityResolver,8,69,2,4,2,15,2,5,0,4
RichText Handler,io.wcm.handler.richtext.util,XHtmlResource,0,105,0,0,0,15,0,5,0,5
RichText Handler,io.wcm.handler.richtext.impl,DataPropertyUtil,0,138,0,22,0,35,0,16,0,5
RichText Handler,io.wcm.handler.richtext.impl,RTELinkPluginConfig.LinkTypeConfig,0,9,0,0,0,3,0,3,0,3
RichText Handler,io.wcm.handler.richtext.impl,RichTextBuilderImpl,20,52,2,0,8,15,4,5,3,5
RichText Handler,io.wcm.handler.richtext.impl,RichTextHandlerImpl,24,212,6,26,3,50,5,22,0,11
RichText Handler,io.wcm.handler.richtext.impl,RTELinkPluginConfig,3,141,0,6,2,32,0,8,0,5
RichText Handler,io.wcm.handler.richtext.impl,DefaultRichTextHandlerConfig,0,3,0,0,0,1,0,1,0,1
RichText Handler,io.wcm.handler.richtext.impl,RTELinkPluginConfig.Result,0,9,0,0,0,3,0,3,0,3
RichText Handler,io.wcm.handler.richtext.ui,ResourceRichText,0,36,0,2,0,9,0,5,0,4
RichText Handler,io.wcm.handler.richtext.ui,ResourceMultilineText,0,29,0,0,0,6,0,4,0,4
RichText Handler,io.wcm.handler.richtext.spi,RichTextHandlerConfig,0,9,0,0,0,3,0,3,0,3
RichText Handler,io.wcm.handler.richtext,RichTextRequest,0,71,0,8,0,20,0,12,0,8
RichText Handler,io.wcm.handler.richtext,DefaultRewriteContentHandler,207,386,43,53,59,101,36,28,5,11
RichText Handler,io.wcm.handler.richtext,DefaultRewriteContentHandler.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
RichText Handler,io.wcm.handler.richtext,TextMode,0,24,0,0,0,3,0,1,0,1
RichText Handler,io.wcm.handler.richtext,RichText,0,48,0,6,0,12,0,10,0,7
