GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibPathCache.new CacheLoader() {...},4,61,2,4,2,12,2,3,0,2
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibPathCacheEntry,7,18,0,0,2,7,2,3,2,3
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibPathCache,22,110,2,6,10,31,3,8,1,6
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibProxyRewriterImpl,0,85,1,9,0,23,1,10,0,6
URL Handler,io.wcm.handler.url,UrlModes,0,49,0,0,0,10,0,1,0,1
URL Handler,io.wcm.handler.url.integrator.impl,IntegratorHandlerImpl,1,186,2,40,1,52,2,31,0,12
URL Handler,io.wcm.handler.url.rewriter.impl,UrlExternalizerTransformerConfig,0,91,0,8,0,16,0,8,0,4
URL Handler,io.wcm.handler.url.rewriter.impl,UrlExternalizerTransformer,18,191,1,15,5,44,1,12,0,5
URL Handler,io.wcm.handler.url.rewriter.impl,UrlExternalizerTransformerFactory,0,7,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.integrator,IntegratorProtocol,0,34,0,0,0,4,0,1,0,1
URL Handler,io.wcm.handler.url.integrator,IntegratorModes,0,24,0,0,0,3,0,1,0,1
URL Handler,io.wcm.handler.url.integrator,IntegratorPlaceholder,0,25,0,0,0,3,0,2,0,2
URL Handler,io.wcm.handler.url.integrator,IntegratorModes.new IntegratorModes() {...},0,12,0,0,0,4,0,4,0,4
URL Handler,io.wcm.handler.url.integrator,IntegratorModes.new IntegratorModes() {...},0,12,0,0,0,4,0,4,0,4
URL Handler,io.wcm.handler.url.impl,UrlBuilderImpl,12,191,3,19,2,54,3,23,0,15
URL Handler,io.wcm.handler.url.impl,Externalizer,16,210,1,19,3,44,1,17,0,8
URL Handler,io.wcm.handler.url.impl,SiteRootDetectorImpl,14,57,2,6,4,16,2,7,0,5
URL Handler,io.wcm.handler.url.impl,DefaultUrlHandlerConfig,0,8,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.impl,UrlHandlerAdapterFactory.new SiteConfig() {...},2,21,0,0,1,4,1,4,1,4
URL Handler,io.wcm.handler.url.impl,UrlHandlerImpl,5,564,7,87,2,116,7,54,0,14
URL Handler,io.wcm.handler.url.impl,UrlHandlerAdapterFactory,22,99,5,9,8,25,5,10,0,8
URL Handler,io.wcm.handler.url.ui,SiteRoot,6,78,3,7,2,19,3,9,0,7
URL Handler,io.wcm.handler.url.spi,UrlHandlerConfig,2,11,0,0,1,5,1,5,1,5
URL Handler,io.wcm.handler.url.suffix.impl,ExcludeNamedPartsFilter,0,12,0,2,0,3,0,3,0,2
URL Handler,io.wcm.handler.url.suffix.impl,FilterOperators,0,32,0,8,0,2,0,8,0,4
URL Handler,io.wcm.handler.url.suffix.impl,IncludeResourcePartsFilter,0,11,0,2,0,2,0,3,0,2
URL Handler,io.wcm.handler.url.suffix.impl,IncludeNamedPartsFilter,0,38,0,4,0,7,0,4,0,2
URL Handler,io.wcm.handler.url.suffix.impl,UrlSuffixUtil,11,306,0,12,3,38,1,15,1,9
URL Handler,io.wcm.handler.url.suffix.impl,ExcludeResourcePartsFilter,0,11,0,2,0,2,0,3,0,2
URL Handler,io.wcm.handler.url.suffix.impl,IncludeAllPartsFilter,0,5,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.suffix.impl,ExcludeSpecificResourceFilter,0,24,0,4,0,7,0,4,0,2
URL Handler,io.wcm.handler.url.suffix,SuffixParser,74,380,8,52,13,89,13,42,5,20
URL Handler,io.wcm.handler.url.suffix,FilteringSuffixStateStrategy,0,43,1,5,0,11,1,4,0,2
URL Handler,io.wcm.handler.url.suffix,SuffixParser.new Function() {...},0,11,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.suffix,SuffixParser.new Predicate() {...},0,28,0,4,0,7,0,4,0,2
URL Handler,io.wcm.handler.url.suffix,SuffixBuilder,1,402,3,31,1,77,3,35,0,21
URL Handler,io.wcm.handler.url.suffix,DiscardSuffixStateStrategy,7,0,0,0,2,0,2,0,2,0
URL Handler,io.wcm.handler.url.impl.modes,FullUrlForceSecureUrlMode,2,74,0,20,1,19,1,13,1,3
URL Handler,io.wcm.handler.url.impl.modes,FullUrlForceNonSecureUrlMode,2,74,0,20,1,19,1,13,1,3
URL Handler,io.wcm.handler.url.impl.modes,AbstractUrlMode,9,52,2,10,3,13,4,8,2,4
URL Handler,io.wcm.handler.url.impl.modes,FullUrlUrlMode,2,113,3,31,1,28,4,17,1,3
URL Handler,io.wcm.handler.url.impl.modes,UrlConfig,9,43,1,1,3,12,1,6,0,6
URL Handler,io.wcm.handler.url.impl.modes,FullUrlProtocolRelativeUrlMode,4,108,2,26,2,27,3,16,1,4
URL Handler,io.wcm.handler.url.impl.modes,NoHostnameUrlMode,2,7,0,0,1,3,1,3,1,3
URL Handler,io.wcm.handler.url.impl.modes,DefaultUrlMode,4,108,2,12,1,23,2,11,0,6
