GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
URL Handler,io.wcm.handler.url,VanityMode,0,34,0,0,0,4,0,1,0,1
URL Handler,io.wcm.handler.url,UrlModes,0,49,0,0,0,10,0,1,0,1
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibPathCacheEntry,7,18,0,0,2,7,2,3,2,3
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibPathCache,19,164,5,11,9,43,6,10,1,7
URL Handler,io.wcm.handler.url.impl.clientlib,ClientlibProxyRewriterImpl,0,79,1,9,0,23,1,10,0,6
URL Handler,io.wcm.handler.url.integrator.impl,IntegratorHandlerImpl,1,186,2,40,1,52,2,31,0,12
URL Handler,io.wcm.handler.url.rewriter.impl,UrlExternalizerTransformerConfig,0,91,0,8,0,16,0,8,0,4
URL Handler,io.wcm.handler.url.rewriter.impl,UrlExternalizerTransformer,11,184,1,15,3,43,1,12,0,5
URL Handler,io.wcm.handler.url.rewriter.impl,UrlExternalizerTransformerFactory,0,7,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.integrator,IntegratorProtocol,0,34,0,0,0,4,0,1,0,1
URL Handler,io.wcm.handler.url.integrator,IntegratorModes,0,24,0,0,0,3,0,1,0,1
URL Handler,io.wcm.handler.url.integrator,IntegratorPlaceholder,0,11,0,0,0,3,0,2,0,2
URL Handler,io.wcm.handler.url.integrator,IntegratorModes.new IntegratorModes() {...},0,11,0,0,0,4,0,4,0,4
URL Handler,io.wcm.handler.url.integrator,IntegratorModes.new IntegratorModes() {...},0,11,0,0,0,4,0,4,0,4
URL Handler,io.wcm.handler.url.impl,UrlBuilderImpl,12,237,3,27,2,63,3,30,0,18
URL Handler,io.wcm.handler.url.impl,Externalizer,10,187,1,19,3,44,1,17,0,8
URL Handler,io.wcm.handler.url.impl,SiteRootDetectorImpl,7,57,2,6,1,16,2,7,0,5
URL Handler,io.wcm.handler.url.impl,DefaultUrlHandlerConfig,0,8,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.impl,UrlHandlerAdapterFactory.new SiteConfig() {...},2,21,0,0,1,4,1,4,1,4
URL Handler,io.wcm.handler.url.impl,UrlPrefix,36,111,5,23,9,26,3,15,0,4
URL Handler,io.wcm.handler.url.impl,UrlHandlerImpl,5,562,7,89,2,121,7,57,0,16
URL Handler,io.wcm.handler.url.impl,UrlHandlerAdapterFactory,15,95,5,9,5,24,5,9,0,7
URL Handler,io.wcm.handler.url.ui,SiteRoot,6,85,4,10,2,21,4,10,0,7
URL Handler,io.wcm.handler.url.spi,UrlHandlerConfig,2,13,0,0,1,6,1,6,1,6
URL Handler,io.wcm.handler.url.suffix.impl,ExcludeNamedPartsFilter,0,12,0,2,0,3,0,3,0,2
URL Handler,io.wcm.handler.url.suffix.impl,FilterOperators,0,32,0,8,0,2,0,8,0,4
URL Handler,io.wcm.handler.url.suffix.impl,IncludeResourcePartsFilter,0,11,0,2,0,2,0,3,0,2
URL Handler,io.wcm.handler.url.suffix.impl,IncludeNamedPartsFilter,0,32,0,4,0,7,0,4,0,2
URL Handler,io.wcm.handler.url.suffix.impl,UrlSuffixUtil,11,237,0,12,3,38,1,15,1,9
URL Handler,io.wcm.handler.url.suffix.impl,ExcludeResourcePartsFilter,0,11,0,2,0,2,0,3,0,2
URL Handler,io.wcm.handler.url.suffix.impl,IncludeAllPartsFilter,0,5,0,0,0,2,0,2,0,2
URL Handler,io.wcm.handler.url.suffix.impl,ExcludeSpecificResourceFilter,0,24,0,4,0,7,0,4,0,2
URL Handler,io.wcm.handler.url.suffix,SuffixParser,56,404,8,56,10,99,12,46,4,22
URL Handler,io.wcm.handler.url.suffix,FilteringSuffixStateStrategy,0,43,1,5,0,11,1,4,0,2
URL Handler,io.wcm.handler.url.suffix,SuffixBuilder,1,393,3,31,1,79,3,35,0,21
URL Handler,io.wcm.handler.url.suffix,DiscardSuffixStateStrategy,7,0,0,0,2,0,2,0,2,0
URL Handler,io.wcm.handler.url.impl.modes,FullUrlForceSecureUrlMode,2,74,0,20,1,19,1,13,1,3
URL Handler,io.wcm.handler.url.impl.modes,FullUrlForceNonSecureUrlMode,2,74,0,20,1,19,1,13,1,3
URL Handler,io.wcm.handler.url.impl.modes,AbstractUrlMode,9,52,2,10,3,13,4,8,2,4
URL Handler,io.wcm.handler.url.impl.modes,FullUrlUrlMode,2,113,3,31,1,28,4,17,1,3
URL Handler,io.wcm.handler.url.impl.modes,UrlConfig,9,43,1,1,3,12,1,6,0,6
URL Handler,io.wcm.handler.url.impl.modes,FullUrlProtocolRelativeUrlMode,4,108,2,26,2,27,3,16,1,4
URL Handler,io.wcm.handler.url.impl.modes,NoHostnameUrlMode,2,7,0,0,1,3,1,3,1,3
URL Handler,io.wcm.handler.url.impl.modes,DefaultUrlMode,4,108,2,12,1,23,2,11,0,6
