GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,CoreComponentMediaValueImpl,5,20,0,0,2,7,2,4,2,4
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,CoreComponentLinkValueInspectorService,0,14,0,2,0,4,0,3,0,2
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,CoreComponentLinkValueImpl,0,18,0,0,0,6,0,4,0,4
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,CoreComponentMediaValueInspectorService,0,48,1,5,0,11,1,7,0,5
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,RichTextValueImpl,3,11,0,0,1,5,1,3,1,3
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,LinkUrlValueInspectorService,0,44,0,6,0,8,0,7,0,4
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,LinkUrlValueImpl,3,18,0,0,1,6,1,4,1,4
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.inspector,RichTextValueInspectorService,0,33,0,6,0,6,0,7,0,4
Site API Generic Edit,io.wcm.siteapi.genericedit.model,GenericComponentModel,0,23,1,1,0,6,1,3,0,3
Site API Generic Edit,io.wcm.siteapi.genericedit.model,ModelFromRequest,12,14,1,1,4,4,1,2,0,2
Site API Generic Edit,io.wcm.siteapi.genericedit.model,GenericEditDetector,0,15,0,0,0,4,0,3,0,3
Site API Generic Edit,io.wcm.siteapi.genericedit.builder,ValueInspectorService,0,22,0,0,0,5,0,3,0,3
Site API Generic Edit,io.wcm.siteapi.genericedit,GenericEditConfig,0,11,0,0,0,4,0,3,0,3
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl,GenericPropertyImpl,0,74,0,8,0,19,0,14,0,10
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl,GenericComponentBuilderServiceImpl,0,233,1,15,0,43,1,20,0,13
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl,ComponentValueImpl,0,11,0,0,0,5,0,3,0,3
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl,SimpleValueImpl,0,108,0,26,0,24,0,25,0,12
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl,GenericComponentImpl,0,119,3,9,0,27,3,17,0,14
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.util,PatternList,0,65,0,2,0,15,0,7,0,6
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.util,PropertyIntrospector,21,246,2,30,2,57,2,25,0,11
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.util,PropertyNameBeautifier,0,65,1,15,0,18,1,8,0,1
Site API Generic Edit,io.wcm.siteapi.genericedit.builder.impl.util,ValueList,0,61,0,10,0,17,0,7,0,2
