GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Site API Handler Extensions,io.wcm.siteapi.handler.link,SiteApiLinkMarkupBuilder,3,81,4,6,1,14,4,8,0,7
Site API Handler Extensions,io.wcm.siteapi.handler.link,SiteApiLinkPreProcessor,0,63,0,4,0,13,0,6,0,4
Site API Handler Extensions,io.wcm.siteapi.handler.caconfig.impl.property,ContentPathPropertyMapper,4,105,2,10,2,24,2,12,0,8
Site API Handler Extensions,io.wcm.siteapi.handler.media.impl,MediaDecoratorManagerImpl,0,46,0,4,0,14,0,8,0,6
Site API Handler Extensions,io.wcm.siteapi.handler.url.impl,HandlerUrlBuilder,0,19,0,0,0,6,0,2,0,2
Site API Handler Extensions,io.wcm.siteapi.handler.link.impl,PropertyName,0,42,0,6,0,8,0,4,0,1
Site API Handler Extensions,io.wcm.siteapi.handler.link.impl,AnchorAttribute,16,61,2,2,4,16,3,9,2,8
Site API Handler Extensions,io.wcm.siteapi.handler.link.impl,LinkDecoratorManagerImpl,0,46,0,4,0,14,0,8,0,6
Site API Handler Extensions,io.wcm.siteapi.handler.processor.impl.navigation,NavigationProcessor,2,83,2,6,1,20,2,6,0,4
Site API Handler Extensions,io.wcm.siteapi.handler.processor.impl.navigation,NavigationItem,0,41,0,2,0,12,0,6,0,5
