GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Site API Processor,io.wcm.siteapi.processor.util,SiteApiRequest,0,52,1,13,0,11,1,9,0,3
Site API Processor,io.wcm.siteapi.processor.url.impl,SimpleUrlBuilder,0,31,0,0,0,10,0,2,0,2
Site API Processor,io.wcm.siteapi.processor.caconfig.impl.property,JsonRawValuePropertyMapper,0,38,1,3,0,11,1,6,0,5
Site API Processor,io.wcm.siteapi.processor.impl.content,ModelJsonPathFilter,0,167,0,12,0,40,0,15,0,9
Site API Processor,io.wcm.siteapi.processor.impl.content,ModelItem,0,189,1,13,0,42,1,18,0,12
Site API Processor,io.wcm.siteapi.processor.impl.content,FilteringContentProcessor,17,101,3,3,6,23,3,5,0,5
Site API Processor,io.wcm.siteapi.processor.impl.content,ContentProcessor,3,22,1,1,1,6,1,2,0,2
Site API Processor,io.wcm.siteapi.processor.url,JsonSuffix,0,74,0,6,0,21,0,10,0,7
Site API Processor,io.wcm.siteapi.processor.caconfig.impl,ConfigSingletonItem,2,114,2,10,1,29,2,12,0,8
Site API Processor,io.wcm.siteapi.processor.caconfig.impl,ContextAwareConfigurationMapperImpl,6,307,5,35,2,77,5,30,0,15
Site API Processor,io.wcm.siteapi.processor.caconfig.impl,ConfigCollectionItem,2,43,1,1,1,14,1,5,0,5
Site API Processor,io.wcm.siteapi.processor.caconfig.impl,ContextAwareConfigurationExportImpl,0,13,0,0,0,4,0,3,0,3
Site API Processor,io.wcm.siteapi.processor.caconfig.impl,PropertyInfo,0,47,1,3,0,11,1,8,0,7
Site API Processor,io.wcm.siteapi.processor.caconfig.impl,ConfigurationMetadataUtil,1,30,1,5,0,5,1,5,0,3
Site API Processor,io.wcm.siteapi.processor.util.impl,DictionaryUtil.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Site API Processor,io.wcm.siteapi.processor.util.impl,DictionaryUtil,0,12,0,0,0,2,0,2,0,2
Site API Processor,io.wcm.siteapi.processor.util.impl,JsonObjectMapperImpl,0,57,0,0,0,12,0,5,0,5
Site API Processor,io.wcm.siteapi.processor.impl.caconfig,ContextAwareConfigurationProcessor,0,164,0,10,0,38,0,19,0,14
Site API Processor,io.wcm.siteapi.processor.impl.index,ProcessorIndex,0,15,0,0,0,6,0,3,0,3
Site API Processor,io.wcm.siteapi.processor.impl.index,IndexProcessor,0,49,0,2,0,8,0,6,0,5
Site API Processor,io.wcm.siteapi.processor.impl,ProcessorRequestContextImpl,0,37,0,0,0,13,0,7,0,7
Site API Processor,io.wcm.siteapi.processor.impl,ProcessorData,0,163,1,17,0,39,1,20,0,12
Site API Processor,io.wcm.siteapi.processor.impl,SiteApiServlet,6,168,2,20,1,46,2,19,0,10
Site API Processor,io.wcm.siteapi.processor.impl,ProcessorManagerImpl,0,55,0,0,0,15,0,6,0,6
