GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sling Commons,io.wcm.sling.commons.adapter,AdaptTo,0,14,0,2,0,4,0,2,0,1
Sling Commons,io.wcm.sling.commons.adapter,UnableToAdaptException,0,28,0,0,0,6,0,3,0,3
Sling Commons,io.wcm.sling.commons.request,RequestPath,0,40,0,8,0,8,0,6,0,2
Sling Commons,io.wcm.sling.commons.request,QueryStringBuilder.NameValuePair,0,22,0,2,0,8,0,4,0,3
Sling Commons,io.wcm.sling.commons.request,RequestParam,3,200,4,24,2,50,4,29,0,19
Sling Commons,io.wcm.sling.commons.request,QueryStringBuilder,0,151,0,20,0,32,0,15,0,5
Sling Commons,io.wcm.sling.commons.util,Escape,8,201,2,30,3,32,2,21,0,7
Sling Commons,io.wcm.sling.commons.osgi,RankedServices,4,74,0,2,1,23,1,7,1,6
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceResolverImpl.new CacheLoader() {...},0,13,0,0,0,2,0,2,0,2
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceResolverImpl.new RemovalListener() {...},0,8,0,0,0,3,0,2,0,2
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceResolverImpl,23,137,1,1,3,30,1,16,0,16
Sling Commons,io.wcm.sling.commons.caservice.impl,ResourcePathResolver,0,58,1,11,0,19,1,8,0,3
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceInventoryPrinter,1,77,1,9,1,21,1,6,0,2
Sling Commons,io.wcm.sling.commons.caservice.impl,ServiceInfo,26,279,11,37,6,61,9,30,0,15
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceCollectionResolverImpl,0,71,0,0,0,20,0,8,0,8
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceTracker,18,109,6,4,7,30,7,10,2,10
Sling Commons,io.wcm.sling.commons.caservice.impl,ResolveAllResultImpl,0,24,0,2,0,8,0,4,0,3
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceCollectionResolverImpl.ServiceWrapper,0,37,0,0,0,9,0,5,0,5
Sling Commons,io.wcm.sling.commons.caservice.impl,ServiceInfo.new ToStringStyle() {...},0,9,0,0,0,4,0,1,0,1
Sling Commons,io.wcm.sling.commons.resource,ImmutableValueMap.Builder,0,42,0,2,0,10,0,6,0,5
Sling Commons,io.wcm.sling.commons.resource,ResourcePath,0,15,0,4,0,3,0,3,0,1
Sling Commons,io.wcm.sling.commons.resource,NameResourceComparator,0,22,0,6,0,8,0,5,0,2
Sling Commons,io.wcm.sling.commons.resource,ResourceType,27,147,6,28,6,34,5,18,0,6
Sling Commons,io.wcm.sling.commons.resource,ImmutableValueMap,6,189,1,3,2,34,2,27,1,26
Sling Commons,io.wcm.sling.commons.request.impl,RequestContextFilterImpl,2,40,1,3,2,11,3,5,2,4
