GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder.element,ContentElementImpl,10,48,1,3,2,15,2,6,1,5
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ValueConverter.MockValue,28,15,0,0,7,6,7,3,7,3
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,NameUtil,0,105,0,16,0,23,0,11,0,3
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ContentElementConverter,0,33,0,2,0,6,0,2,0,1
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ValueConverter,25,201,2,32,4,39,2,18,0,3
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ContentPackageBuilder,6,118,0,0,2,34,1,18,1,18
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,PropertiesEntityResolver,16,3,2,0,4,1,2,1,1,1
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,PackageFilterRule,7,15,2,0,1,6,2,3,1,3
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,PackageMetadata,26,243,5,11,6,64,6,25,1,22
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,NodeTypes,0,24,0,2,0,6,0,4,0,3
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ContentFolderSplitter,0,63,0,6,0,14,0,5,0,2
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ValueConverter.MockProperty,204,44,3,3,51,14,51,7,48,7
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,XmlContentBuilder,11,509,6,38,4,111,6,31,0,15
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,XmlNamespaces,0,63,0,0,0,14,0,1,0,1
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ContentPackage,55,474,2,22,17,123,6,29,4,19
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,PackageFilter,0,42,0,0,0,11,0,5,0,5
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,AcHandling,0,70,0,0,0,10,0,3,0,3
AEM Content Package Builder,io.wcm.tooling.commons.contentpackagebuilder,ContentFolderSplitter.ContentPart,9,21,0,0,2,7,2,4,2,4
