GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHelper.new ConnectionKeepAliveStrategy() {...},8,0,0,0,2,0,2,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,Proxy,131,0,16,0,27,0,19,0,11,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHelper.new HttpRequestInterceptor() {...},43,0,4,0,9,0,4,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerProperties,174,0,0,0,67,0,37,0,37,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHelper,568,0,40,0,119,0,35,0,15,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerException,9,0,0,0,4,0,2,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHttpActionException,108,0,4,0,16,0,7,0,5,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.composum,ComposumPackageInstaller,187,0,12,0,42,0,10,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.util,ContentPackageProperties,2,104,2,10,1,24,2,8,0,4
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.util,HttpClientUtil,33,0,2,0,12,0,3,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,PackageFile,91,0,6,0,32,0,18,0,15,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,VendorInstallerFactory,87,0,10,0,24,0,10,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,VendorInstallerFactory.Service,34,0,0,0,4,0,1,0,1,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,PackageInstaller,170,0,10,0,36,0,11,0,6,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpackerProperties,8,44,0,0,4,18,2,13,2,13
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpacker.MockValue,28,15,0,0,7,6,7,3,7,3
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpacker,325,681,39,77,53,156,31,47,2,18
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpacker.MockProperty,212,36,4,2,53,12,52,6,49,6
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpacker.new DefaultHandler() {...},0,35,1,5,0,7,1,5,0,3
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,OneAttributePerLineXmlProcessor,69,257,16,28,16,61,13,12,0,3
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.download,PackageDownloader,272,0,18,0,56,0,14,0,5,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,BundleStatus,14,144,4,12,3,34,5,15,1,11
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerXmlCall,82,0,2,0,20,0,4,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerHtmlCall,66,0,2,0,15,0,4,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,BundleStatusCall,77,0,2,0,18,0,5,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerJsonCall,98,0,6,0,24,0,6,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerHtmlMessageCall,162,0,6,0,34,0,6,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerStatusCall,71,0,4,0,16,0,5,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,BundleStatusParser,13,134,6,16,5,38,5,12,1,5
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.crx,CrxPackageInstaller,363,0,25,0,75,0,20,0,6,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.crx,PackageInstalledChecker,7,138,1,21,2,36,1,15,0,5
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.crx,PackageInstalledStatus,0,44,0,0,0,5,0,1,0,1
