GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,Proxy,111,0,16,0,27,0,19,0,11,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHelper.new HttpRequestInterceptor() {...},37,0,4,0,9,0,4,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerProperties,191,0,0,0,74,0,41,0,41,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHelper,621,0,48,0,138,0,41,0,17,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerException,9,0,0,0,4,0,2,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr,PackageManagerHttpActionException,62,0,4,0,17,0,7,0,5,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.composum,ComposumPackageInstaller,156,0,12,0,42,0,10,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.util,ContentPackageProperties,2,108,3,11,1,25,3,8,0,4
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.util,HttpClientUtil,33,0,2,0,12,0,3,0,2,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,PackageFile,90,0,6,0,32,0,18,0,15,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,VendorInstallerFactory,81,0,10,0,24,0,10,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,VendorInstallerFactory.Service,34,0,0,0,4,0,1,0,1,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install,PackageInstaller,165,0,10,0,37,0,11,0,6,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,DocViewUtil.new Name() {...},8,3,0,0,3,1,3,1,3,1
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpackerProperties,8,44,0,0,4,18,2,13,2,13
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpacker,213,654,40,78,42,154,32,45,2,16
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,ContentUnpacker.new DefaultHandler() {...},0,35,1,5,0,7,1,5,0,3
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,DocViewUtil.MockValue,28,15,0,0,7,6,7,3,7,3
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,DocViewUtil,23,31,0,0,6,5,1,4,1,4
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.unpack,OneAttributePerLineXmlProcessor,69,257,16,28,16,61,13,12,0,3
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.download,PackageDownloader,232,0,18,0,56,0,14,0,5,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,BundleStatus,14,144,4,12,3,34,5,15,1,11
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerXmlCall,78,0,2,0,20,0,4,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerHtmlCall,64,0,2,0,15,0,4,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerInstallStatus,15,0,0,0,6,0,3,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,BundleStatusCall,82,0,2,0,20,0,5,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerJsonCall,96,0,6,0,24,0,6,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerHtmlMessageCall,148,0,6,0,34,0,6,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerStatusCall,69,0,4,0,16,0,5,0,3,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,BundleStatusParser,13,134,6,16,5,38,5,12,1,5
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.httpaction,PackageManagerInstallStatusCall,99,0,4,0,26,0,6,0,4,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.crx,CrxPackageInstaller,306,0,25,0,76,0,20,0,6,0
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.crx,PackageInstalledChecker,7,138,1,21,2,36,1,15,0,5
CRX Package Manager Helper,io.wcm.tooling.commons.packmgr.install.crx,PackageInstalledStatus,0,44,0,0,0,5,0,1,0,1
