GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.installation,NodeUnarchiveTask,10,24,1,1,3,8,1,2,0,2
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.installation,TarUnArchiver,10,90,0,6,2,24,0,5,0,2
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.installation,NodeInstallationInformation,127,219,16,12,29,60,16,22,3,21
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.installation,ZipUnArchiver,73,0,4,0,20,0,4,0,2,0
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,NodejsOutputStreamHandler,15,60,2,4,4,16,2,5,0,4
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,Task,78,118,10,8,15,34,9,9,1,8
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,NodeJsPluginException,13,0,0,0,6,0,3,0,3,0
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,NpmInstallTask,6,58,1,5,2,16,3,6,2,4
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,AbstractNodeJsMojo,88,218,14,16,24,48,12,11,0,8
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,NodeJsCompilerMojo,0,6,0,0,0,3,0,2,0,2
Node.js Maven Plugin,io.wcm.maven.plugins.nodejs.mojo,NodeJsTask,36,93,4,4,7,23,5,5,1,5
