GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,CollectNonDirectoryPathsProcessor,12,18,0,0,4,6,2,4,2,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,BundleEntry,0,25,0,0,0,8,0,4,0,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,WriteContentProcessor,34,62,1,1,10,17,3,4,2,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,TransformMojo,75,401,16,30,20,78,14,17,0,8
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,OsgiBundleFile,48,230,10,10,7,43,8,16,0,14
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,ContentMapping,10,32,3,1,1,8,3,4,1,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,HelpMojo,856,0,108,0,153,0,70,0,16,0
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform.contentparser,XmlContentLoader,12,18,0,0,3,6,1,2,1,2
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform.contentparser,JsonContentLoader,0,52,0,0,0,11,0,3,0,3
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform.contentparser,ContentElementHandler,75,23,9,1,13,6,5,4,0,4
