GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,CollectNonDirectoryPathsProcessor,12,18,0,0,4,6,2,4,2,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,BundleEntry,0,25,0,0,0,8,0,4,0,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,WriteContentProcessor,30,60,1,1,10,17,3,4,2,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,TransformMojo,77,363,16,30,21,78,14,17,0,8
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,OsgiBundleFile,48,209,10,10,7,43,8,16,0,14
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform,ContentMapping,10,32,3,1,1,8,3,4,1,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform.contentparser,XmlContentLoader,12,18,0,0,3,6,1,2,1,2
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform.contentparser,JsonContentLoader,0,44,0,0,0,11,0,3,0,3
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.slinginitialcontenttransform.contentparser,ContentElementHandler,17,67,3,7,3,16,3,6,0,4
Sling-Initial-Content Transformation Maven Plugin,io.wcm.maven.plugins.sling_initial_content_transform_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
