GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,Filters,0,118,0,16,0,23,0,12,0,4
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,PackageMojo.new FilenameFilter() {...},14,0,0,0,2,0,2,0,2,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,Filter,0,24,0,0,0,10,0,7,0,7
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,JcrContentPackageArchiver,6,0,0,0,3,0,1,0,1,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,AbstractAddition,32,0,0,0,13,0,8,0,8,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,NestedPackage,122,0,20,0,15,0,13,0,3,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,PackageMojo,994,0,92,0,197,0,61,0,15,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,Dependency,117,0,6,0,22,0,13,0,10,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage.pack,EmbeddedBundle,165,0,22,0,23,0,18,0,7,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,ArtifactHelper,170,0,18,0,39,0,14,0,4,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,AbstractContentPackageMojo.new Logger() {...},78,0,0,0,21,0,13,0,13,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,ProxySupport,78,0,12,0,22,0,8,0,2,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,HelpMojo,893,0,110,0,159,0,71,0,16,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,PackageFile,42,0,0,0,14,0,13,0,13,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,DownloadMojo,185,0,20,0,40,0,14,0,4,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,AbstractContentPackageMojo,162,0,7,0,35,0,11,0,7,0
Content Package Maven Plugin,io.wcm.maven.plugins.contentpackage,InstallMojo,282,0,42,0,59,0,25,0,4,0
