GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2.form,ContainerV2Impl,32,33,0,0,8,7,8,4,8,4
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,NavigationItemV1Impl,0,37,0,0,0,12,0,6,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractContainerImpl,0,114,1,9,0,26,1,10,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,ImageAreaV2Impl,63,29,5,1,17,7,13,2,10,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,LinkListItemV2Impl,17,45,0,2,5,12,2,6,2,5
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractComponentImpl,27,101,2,10,5,23,4,10,2,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,LinkListItemV1Impl,3,16,0,0,1,4,1,3,1,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,ImageAreaV1Impl,3,16,0,2,1,7,1,3,1,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,PageListItemV1Impl,3,16,0,0,1,4,1,3,1,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractListItemImpl,42,52,2,2,4,11,5,4,4,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,PageListItemV2Impl,13,192,7,17,4,47,7,18,0,13
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,NavigationItemV2Impl,0,37,0,0,0,12,0,6,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,LanguageNavigationItemV2Impl,9,61,3,3,3,14,4,5,1,5
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,LanguageNavigationItemV1Impl,0,70,3,3,0,17,3,6,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractComponentExporterImpl,0,7,0,0,0,2,0,2,0,2
WCM Core Components,io.wcm.wcm.core.components.impl.util,HandlerUnwrapper,2,16,1,1,1,4,1,3,0,3
WCM Core Components,io.wcm.wcm.core.components.impl.util,CoreResourceWrapper,4,82,1,7,1,18,1,9,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,NavigationV2Impl.NavigationRoot,0,20,0,2,0,5,0,2,0,1
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,ImageV2Impl,14,431,4,28,2,93,4,39,0,27
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,TeaserV2Impl,3,391,4,34,1,72,5,29,1,14
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,TextV2Impl,0,41,0,2,0,11,0,7,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,BreadcrumbV2Impl,0,18,0,0,0,4,0,2,0,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,BreadcrumbV2ItemImpl,0,11,0,0,0,2,0,1,0,1
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,ListV2Impl,0,14,0,0,0,3,0,2,0,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,TitleV2Impl,3,10,0,0,1,3,1,3,1,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,NavigationV2Impl,2,469,5,47,0,91,5,34,0,13
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,ButtonV2Impl,0,57,0,0,0,13,0,9,0,9
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,LanguageNavigationV2Impl,16,48,0,0,2,10,1,5,1,5
WCM Core Components,io.wcm.wcm.core.components.impl.servlets,ImageWidthProxyServlet,0,143,0,8,0,32,0,11,0,7
WCM Core Components,io.wcm.wcm.core.components.impl.link,LinkWrapper,0,53,0,2,0,13,0,10,0,9
WCM Core Components,io.wcm.wcm.core.components.impl.link,LinkHtmlAttributesSerializer,0,69,1,5,0,15,1,9,0,7
WCM Core Components,io.wcm.wcm.core.components.impl.models.v3,ListV3Impl,12,55,0,0,3,11,3,8,3,8
WCM Core Components,io.wcm.wcm.core.components.impl.models.v3,BreadcrumbV3ItemImpl,0,11,0,0,0,2,0,1,0,1
WCM Core Components,io.wcm.wcm.core.components.impl.models.v3,BreadcrumbV3Impl,0,123,1,15,0,26,1,13,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.v3,TitleV3Impl,0,57,0,0,0,13,0,9,0,9
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,ButtonV1Impl,3,10,0,0,1,3,1,3,1,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,LayoutContainerV1Impl,18,7,0,0,5,2,5,2,5,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,TeaserV1Impl,3,24,0,0,1,5,1,4,1,4
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,DownloadV1V2Impl,0,216,4,14,0,49,4,22,0,17
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,LanguageNavigationV1Impl,0,19,0,0,0,3,0,2,0,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,NavigationV1Impl,0,18,0,0,0,3,0,2,0,2
WCM Core Components,io.wcm.wcm.core.components.models.mixin,LinkMixin,0,12,0,0,0,3,0,3,0,3
WCM Core Components,io.wcm.wcm.core.components.models.mixin,MediaMixin,0,12,0,0,0,3,0,3,0,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.wcmio.v1,ResponsiveImageV1Impl,1,262,5,25,1,63,5,25,0,15
