GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2.form,ContainerImpl,32,33,0,0,8,7,8,4,8,4
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractContainerImpl,0,114,1,9,0,26,1,10,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,BreadcrumbItemImpl,0,10,0,0,0,2,0,1,0,1
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,LanguageNavigationItemImpl,0,69,3,3,0,17,3,6,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,LinkListItemImpl,14,40,0,2,4,11,1,6,1,5
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractComponentImpl,27,101,2,10,5,23,4,10,2,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractListItemImpl,33,52,2,2,4,11,4,4,3,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,ImageAreaImpl,35,24,0,2,8,9,8,4,8,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,AbstractComponentExporterImpl,0,7,0,0,0,2,0,2,0,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,PageListItemImpl,4,70,1,5,1,21,1,11,0,9
WCM Core Components,io.wcm.wcm.core.components.impl.models.helpers,NavigationItemImpl,0,31,0,0,0,10,0,5,0,5
WCM Core Components,io.wcm.wcm.core.components.impl.util,HandlerUnwrapper,0,13,0,0,0,3,0,3,0,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,TextImpl,0,41,0,2,0,11,0,7,0,6
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,ImageImpl,18,441,6,32,3,96,6,40,0,27
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,ListImpl,16,38,0,0,4,8,4,5,4,5
WCM Core Components,io.wcm.wcm.core.components.impl.models.v2,TitleImpl,0,49,0,0,0,13,0,9,0,9
WCM Core Components,io.wcm.wcm.core.components.impl.servlets,ImageWidthProxyServlet,0,143,0,8,0,32,0,11,0,7
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,BreadcrumbImpl,0,117,1,15,0,25,1,12,0,5
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,ButtonImpl,0,49,0,0,0,13,0,9,0,9
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,TeaserImpl,3,338,4,28,1,64,5,25,1,13
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,TeaserImpl.new LinkListItemImpl() {...},2,11,0,0,1,1,1,1,1,1
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,NavigationImpl.NavigationRoot,0,20,0,2,0,5,0,2,0,1
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,LayoutContainerImpl,18,7,0,0,5,2,5,2,5,2
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,DownloadImpl,0,203,4,14,0,47,4,21,0,16
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,LanguageNavigationImpl,0,52,0,0,0,11,0,5,0,5
WCM Core Components,io.wcm.wcm.core.components.impl.models.v1,NavigationImpl,2,444,5,45,0,88,5,31,0,11
WCM Core Components,io.wcm.wcm.core.components.models.mixin,LinkMixin,0,12,0,0,0,3,0,3,0,3
WCM Core Components,io.wcm.wcm.core.components.models.mixin,MediaMixin,0,12,0,0,0,3,0,3,0,3
WCM Core Components,io.wcm.wcm.core.components.impl.models.wcmio.v1,ResponsiveImageImpl,5,287,7,29,2,68,7,26,0,15
