GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM Parsys,io.wcm.wcm.parsys.componentinfo.impl,ParsysComponentsServlet,31,101,3,9,6,27,3,7,0,4
WCM Parsys,io.wcm.wcm.parsys.componentinfo.impl,ResourceParsysConfigProvider,0,47,0,4,0,14,0,5,0,3
WCM Parsys,io.wcm.wcm.parsys.componentinfo.impl,ResourceParsysConfigProvider.PathDef,58,117,1,3,6,22,3,8,2,7
WCM Parsys,io.wcm.wcm.parsys.componentinfo.impl,OsgiParsysConfigProvider,52,206,8,22,4,44,8,17,0,10
WCM Parsys,io.wcm.wcm.parsys.componentinfo.impl,ParsysConfigManagerImpl,14,209,8,28,5,47,9,19,1,9
WCM Parsys,io.wcm.wcm.parsys.componentinfo.impl,AllowedComponentsProviderImpl,4,208,5,27,2,47,5,15,0,4
WCM Parsys,io.wcm.wcm.parsys.controller,CssBuilder,4,50,0,6,1,11,1,6,1,3
WCM Parsys,io.wcm.wcm.parsys.controller,Parsys,6,475,11,47,2,108,11,35,0,17
WCM Parsys,io.wcm.wcm.parsys.controller,Parsys.Item,0,65,0,0,0,25,0,16,0,16
WCM Parsys,io.wcm.wcm.parsys.componentinfo,ParsysConfig,2,0,0,0,1,0,1,0,1,0
