GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.servlets,PageTreeProvider,0,6,0,0,0,2,0,2,0,2
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.servlets,PageListProvider,0,6,0,0,0,2,0,2,0,2
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.servlets,TemplateFilterPageTreeProvider.PathPageFilter,0,36,1,5,0,12,1,4,0,2
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.servlets,TemplateFilterPageTreeProvider,14,131,2,8,4,27,3,8,1,5
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider,AbstractPageProvider,32,90,4,10,6,26,4,7,0,4
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider,AbstractPageTreeProvider,9,139,5,11,3,32,5,9,0,6
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider,AbstractPageListProvider,0,44,0,2,0,11,0,3,0,2
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.util,SlingFolderVirtualPage,49,152,6,6,13,48,11,36,6,35
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.util,PageIterator,8,91,1,19,2,21,2,13,1,4
WCM ExtJS UI Extensions,io.wcm.wcm.ui.extjs.provider.impl.util,PredicatePageFilter,0,25,0,2,0,8,0,4,0,3
