GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.components.pathfield,Column,6,60,0,0,2,22,2,13,2,13
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.components.pathfield,ColumnView,15,490,9,47,4,102,10,29,1,10
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.components.pathfield,ColumnItem,9,20,0,0,3,8,3,4,3,4
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.util,GraniteUi,0,145,3,27,0,39,3,19,0,7
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.util,RootPathResolver,0,171,2,16,0,45,2,15,0,8
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl,PathFieldChildrenDatasourceServlet.new PredicatedResourceWrapper() {...},9,8,2,0,3,1,2,1,1,1
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl,PathFieldChildrenDatasourceServlet.new AbstractDataSource() {...},0,59,0,2,0,5,0,4,0,3
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl,PathFieldChildrenDatasourceServlet,50,221,9,9,15,47,7,11,0,9
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl.util,DummyJspWriter,104,5,0,0,26,2,26,1,26,1
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl.util,DummyPageContext,96,23,0,0,24,8,24,4,24,4
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl.util,PredicatedResourceWrapper,0,57,1,5,0,12,1,7,0,5
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.resource,GraniteUiSyntheticResource,6,220,2,8,1,48,2,23,0,20
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.emulator.impl,EmulatorProviderImpl,8,139,4,14,3,31,4,11,0,6
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.emulator.impl,EmulatorProviderImpl.EmulatorGroupImpl,16,10,0,0,4,4,4,2,4,2
WCM Granite UI Extensions,io.wcm.wcm.ui.granite.pathfield.impl.predicate,HideInternalContentPathsPredicate,0,83,0,4,0,34,0,5,0,3
